Method,file,return,makespan,waiting,collision,rework,bits
Greedy,E2_Greedy_eval_s0.log,221.85718047619045,41.474,0.0,48.542,3.757,0.0
Greedy,E2_Greedy_eval_s1.log,222.44769333333332,41.321,0.0,48.347,3.68,0.0
Greedy,E2_Greedy_eval_s2.log,221.71312,41.517,0.0,48.554,3.789,0.0
Greedy,E2_Greedy_eval_s3.log,222.5007061904762,41.273,0.0,48.014,3.777,0.0
Greedy,E2_Greedy_eval_s4.log,221.68363142857143,41.556,0.0,48.727,3.733,0.0
Greedy-Reservation,E2_GreedyReservation_eval_s0.log,284.33533047619056,24.821,0.0,1.386,3.779,0.0
Greedy-Reservation,E2_GreedyReservation_eval_s1.log,284.6726490476191,24.782,0.0,1.346,3.712,0.0
Greedy-Reservation,E2_GreedyReservation_eval_s2.log,284.1488476190476,24.827,0.0,1.321,3.857,0.0
Greedy-Reservation,E2_GreedyReservation_eval_s3.log,284.59791333333334,24.731,0.0,1.465,3.708,0.0
Greedy-Reservation,E2_GreedyReservation_eval_s4.log,284.2589442857143,24.855,0.0,1.406,3.801,0.0
