coverage,success,makespan,return,defect_rate,rework,waiting,bits,file
100.0,100.0,22.4,286.4,0.152,3.8,6.4,265.0,E4_mean_ep16000_s0.log
100.0,100.0,20.9,287.4,0.147,3.68,5.2,239.7,E4_mean_ep16000_s1.log
100.0,100.0,20.4,288.0,0.143,3.58,4.3,249.6,E4_mean_ep16000_s2.log
100.0,100.0,21.6,287.1,0.148,3.71,5.2,245.4,E4_mean_ep16000_s3.log
100.0,100.0,21.0,287.4,0.146,3.66,4.8,244.9,E4_mean_ep16000_s4.log
100.0,100.0,22.4,286.4,0.152,3.8,6.4,265.0,E4_noagg_ep16000_s0.log
100.0,100.0,20.9,287.4,0.147,3.68,5.2,239.7,E4_noagg_ep16000_s1.log
100.0,100.0,20.4,288.0,0.143,3.58,4.3,249.6,E4_noagg_ep16000_s2.log
100.0,100.0,21.6,287.1,0.148,3.71,5.2,245.4,E4_noagg_ep16000_s3.log
100.0,100.0,21.0,287.4,0.146,3.66,4.8,244.9,E4_noagg_ep16000_s4.log
