coverage,success,makespan,return,defect_rate,rework,waiting,bits,file
100.0,100.0,22.4,286.4,0.152,3.8,6.4,265.0,E5_full_ep16000_s0.log
100.0,100.0,20.9,287.4,0.147,3.68,5.2,239.7,E5_full_ep16000_s1.log
100.0,100.0,20.4,288.0,0.143,3.58,4.3,249.6,E5_full_ep16000_s2.log
100.0,100.0,21.6,287.1,0.148,3.71,5.2,245.4,E5_full_ep16000_s3.log
100.0,100.0,21.0,287.4,0.146,3.66,4.8,244.9,E5_full_ep16000_s4.log
100.0,100.0,21.4,287.1,0.15,3.74,5.1,249.6,E5_no_collision_penalty_ep16000_s0.log
100.0,100.0,21.2,288.2,0.138,3.45,5.3,260.0,E5_no_collision_penalty_ep16000_s1.log
100.0,100.0,21.0,286.5,0.157,3.93,4.2,249.9,E5_no_collision_penalty_ep16000_s2.log
100.0,100.0,21.5,287.6,0.144,3.61,4.6,261.4,E5_no_collision_penalty_ep16000_s3.log
100.0,100.0,21.9,287.0,0.149,3.72,5.6,269.6,E5_no_collision_penalty_ep16000_s4.log
100.0,100.0,22.4,286.4,0.152,3.8,6.4,265.0,E5_no_invalid_penalty_ep16000_s0.log
100.0,100.0,20.9,287.4,0.147,3.68,5.2,239.7,E5_no_invalid_penalty_ep16000_s1.log
100.0,100.0,20.4,288.0,0.143,3.58,4.3,249.6,E5_no_invalid_penalty_ep16000_s2.log
100.0,100.0,21.6,287.1,0.148,3.71,5.2,245.4,E5_no_invalid_penalty_ep16000_s3.log
100.0,100.0,21.0,287.4,0.146,3.66,4.8,244.9,E5_no_invalid_penalty_ep16000_s4.log
100.0,100.0,21.4,191.9,0.141,3.52,4.8,274.0,E5_no_speed_bonus_ep16000_s0.log
100.0,100.0,21.5,192.4,0.135,3.37,5.2,280.0,E5_no_speed_bonus_ep16000_s1.log
100.0,100.0,21.8,191.6,0.146,3.66,5.6,236.4,E5_no_speed_bonus_ep16000_s2.log
100.0,100.0,22.4,191.5,0.144,3.61,6.7,258.9,E5_no_speed_bonus_ep16000_s3.log
100.0,100.0,21.1,192.2,0.139,3.48,4.3,232.4,E5_no_speed_bonus_ep16000_s4.log
100.0,100.0,21.1,288.1,0.139,3.48,4.3,245.0,E5_no_waiting_penalty_ep16000_s0.log
100.0,100.0,21.3,287.5,0.146,3.65,4.8,242.8,E5_no_waiting_penalty_ep16000_s1.log
100.0,100.0,21.1,287.7,0.146,3.65,5.3,241.7,E5_no_waiting_penalty_ep16000_s2.log
100.0,100.0,21.4,288.0,0.143,3.57,4.5,237.9,E5_no_waiting_penalty_ep16000_s3.log
100.0,100.0,21.2,286.6,0.157,3.93,5.0,252.4,E5_no_waiting_penalty_ep16000_s4.log
